Date,Close/Last,Volume,Open,High,Low,Rise/Fall
2023-10-13,365.28,52519880,370.57,371.16,363.86,0
2023-10-12,369.93,49587940,371.73,373.74,367.5,0
2023-10-11,371.22,38215090,369.94,371.412,368.19,1
2023-10-10,368.59,46968810,366.9,371.28,366.39,1
2023-10-09,366.56,45304770,362.3,367.11,360.78,1
2023-10-06,364.7,75049120,355.65,365.91,354.85,1
2023-10-05,358.69,45897390,359.74,360.15,355.14,0
2023-10-04,359.75,54786690,355.77,360.61,355.3,1
2023-10-03,354.92,60478490,358.78,361.01,353.275,0
2023-10-02,361.26,51625050,358.54,362.68,357.92,1
2023-09-29,358.27,64829620,361.54,362.95,357.02,0
2023-09-28,358.01,56453310,354.11,360.17,353.24,1
2023-09-27,355.04,56065970,355.38,356.98,351.36,0
2023-09-26,354.21,53657750,356.99,357.54,353.2101,0
2023-09-25,359.61,39167990,356.93,359.7,355.93,1
2023-09-22,357.91,51589690,359.63,361.8,357.59,0
2023-09-21,357.86,69734850,360.8,361.6,357.69,0
2023-09-20,364.54,45514190,370.95,371.31,364.46,0
2023-09-19,369.87,37621730,369.32,370.6826,366.8,1
2023-09-18,370.66,36903550,369.32,371.79,369.03,1
2023-09-15,370.81,69811210,375.91,376.32,369.86,0
2023-09-14,377.27,48039390,375.99,378.27,373.89,1
2023-09-13,374.21,46300680,373.03,375.84,371.88,1
2023-09-12,372.79,41391020,375.27,376.9517,372.5,0
2023-09-11,376.97,39936630,375.66,377.49,373.66,1
2023-09-08,372.58,35847360,372.01,374.85,371.6,1
2023-09-07,372.06,52060720,370.21,372.85,369.15,1
2023-09-06,374.74,42998740,377.28,377.63,372.7,0
2023-09-05,378.07,32344220,376.77,379.3093,375.83,1
2023-09-01,377.59,39801180,380.4,380.83,376.0801,0
2023-08-31,377.99,35730700,376.94,379.719,376.87,1
2023-08-30,376.86,41731510,374.88,377.4467,373.86,1
2023-08-29,374.77,58492370,366.56,375.13,366.231,1
2023-08-28,366.76,40910020,366.99,367.71,364.25,0
2023-08-25,364.02,69960470,362.07,365.74,358.58,1
2023-08-24,361.22,66842490,372.64,372.74,361.01,0
2023-08-23,369.11,51770600,364.58,370.22,364.36,1
2023-08-22,363.38,44613510,366.55,366.56,362.68,0
2023-08-21,363.9,50696520,359.62,364.59,359.15,1
2023-08-18,358.13,61191390,355.26,359.41,354.71,1
2023-08-17,358.58,62604340,363.96,364.31,358.16,0
2023-08-16,362.54,53190530,365.87,367.43,362.44,0
2023-08-15,366.42,45539890,369.36,370.169,365.74,0
2023-08-14,370.35,42130800,365.43,370.47,364.7,1
2023-08-11,366.24,48707190,365.99,368.0,364.69,1
2023-08-10,368.59,72035270,370.97,374.36,367.035,0
2023-08-09,367.91,51150900,372.29,372.45,367.14,0
2023-08-08,372.0,44726450,372.64,372.66,368.82,0
2023-08-07,375.19,37230440,373.88,375.29,371.51,1
2023-08-04,372.04,61702760,375.75,378.1,371.53,0
2023-08-03,373.79,47855380,371.94,375.95,371.77,1
2023-08-02,374.39,72687110,379.26,379.26,373.13,0
2023-08-01,382.79,41308460,382.31,383.56,380.69,1
2023-07-31,383.68,44019910,383.79,384.88,382.34,0
2023-07-28,383.48,56902930,380.74,384.52,380.22,1
2023-07-27,376.62,63940230,383.07,384.71,375.31,0
2023-07-26,377.52,47075710,377.72,379.24,375.18,0
2023-07-25,378.78,38894380,376.95,380.47,376.93,1
2023-07-24,376.23,40380060,376.62,377.58,374.34,0
2023-07-21,375.63,60499640,379.18,379.92,375.191,0
2023-07-20,376.76,71941670,382.61,384.095,375.72,0
2023-07-19,385.65,54092960,386.82,387.98,384.3,0
2023-07-18,385.74,55343440,381.96,387.13,380.0,1
2023-07-17,382.61,40868920,379.8,383.5,379.31,1
2023-07-14,379.07,55148500,379.585,382.86,378.18,0
2023-07-13,379.15,46960010,376.05,379.99,375.46,1
2023-07-12,372.82,61703700,372.34,374.19,370.3,1
2023-07-11,368.17,38214150,366.79,368.632,364.62,1
2023-07-10,366.36,48498800,365.96,367.05,363.41,1
2023-07-07,366.24,47133750,367.23,370.48,366.01,0
2023-07-06,367.46,49374730,366.51,367.91,364.52,1
2023-07-05,370.28,34460880,368.695,372.01,368.66,1
2023-07-03,370.29,19379820,370.07,370.93,368.97,1
2023-06-30,369.42,58712500,367.55,370.49,367.23,1
2023-06-29,363.81,46150970,364.24,364.89,362.14,0
2023-06-28,364.54,46498030,361.98,366.52,361.9038,1
2023-06-27,363.83,49428090,359.25,364.57,358.51,1
2023-06-26,357.68,52685480,362.0,364.84,357.59,0
2023-06-23,362.54,48922910,362.21,364.88,360.8227,1
2023-06-22,366.17,47603040,360.63,366.33,360.22,1
2023-06-21,361.9,53378260,365.74,366.18,360.96,0
2023-06-20,366.9,49204720,365.95,368.32,363.8899,1
2023-06-16,367.93,80931970,372.72,372.85,367.48,0
2023-06-15,370.26,71138820,364.61,371.77,363.98,1
2023-06-14,365.9,69525640,363.27,366.19,360.42,1
2023-06-13,363.26,57097800,363.29,364.11,360.03,0
2023-06-12,360.49,44817650,356.19,360.59,355.2,1
2023-06-09,354.5,53196930,354.63,357.66,353.03,0
2023-06-08,353.15,47153920,349.12,353.62,348.89,1
2023-06-07,348.82,69225940,355.13,357.12,348.18,0
2023-06-06,354.84,41390400,354.28,355.82,352.93,1
2023-06-05,354.9,47266230,354.43,357.495,353.85,1
2023-06-02,354.65,53372110,353.8,355.83,352.01,1
2023-06-01,352.01,50488600,347.73,353.36,346.66,1
2023-05-31,347.99,65105380,348.37,350.6,346.51,0
2023-05-30,349.98,72652160,352.71,353.93,348.53,0
2023-05-26,348.4,63006950,340.76,349.245,340.66,1
2023-05-25,339.72,66862770,339.14,341.01,336.665,1
2023-05-24,331.65,62891170,331.37,332.905,329.56,1
2023-05-23,333.36,48216660,335.89,337.06,333.0,0
